dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
2024,CT,7,0,100,100,0,100,100,0,100,100,0,100,20,11
18523,CT,9,4,19,100,4,19,100,0,100,100,0,100,20,11
61494,CT,10,4,19,100,4,19,100,0,100,100,4,17,20,11
155265,CT,11,4,19,100,4,19,100,0,100,100,4,17,20,11
238367,CT,12,4,19,100,4,19,100,0,100,100,4,17,20,11
63838,CT,13,4,19,100,4,19,100,0,100,100,4,17,20,11
169120,CT,14,4,19,100,4,19,100,0,100,100,4,17,20,11
206140,CT,15,4,19,100,4,19,100,0,100,100,4,17,20,11
97789,CT,16,4,19,100,4,19,100,0,100,100,4,17,20,11
197753,CT,17,4,19,100,4,19,100,0,100,100,4,17,20,11
112253,CT,18,4,19,100,4,19,100,0,100,100,4,17,20,11
156450,CT,19,4,19,100,4,19,100,0,100,100,4,17,20,11
99099,CT,20,0,100,100,0,100,100,0,100,100,4,17,20,11
74158,CT,21,0,100,100,0,100,100,0,100,100,4,17,20,11
5227,CT,22,0,100,100,0,100,100,0,100,100,4,17,20,11
5951,DE,8,4,16,100,4,16,100,0,100,100,0,100,40,10
9947,DE,9,4,16,100,4,16,100,0,100,100,0,100,40,10
60896,DE,10,4,16,100,4,16,100,0,100,100,14,14,40,10
38034,DE,11,4,16,100,4,16,100,0,100,100,14,14,40,10
111847,DE,12,4,16,100,4,16,100,0,100,100,14,14,40,10
66953,DE,13,4,16,100,4,16,100,0,100,100,14,14,40,10
87332,DE,14,4,16,100,4,16,100,0,100,100,14,14,40,10
66111,DE,15,4,16,100,4,16,100,0,100,100,14,14,40,10
48244,DE,16,4,16,100,4,16,100,0,100,100,14,14,40,10
52389,DE,17,4,16,100,4,16,100,0,100,100,14,14,40,10
39256,DE,18,4,16,100,4,16,100,0,100,100,14,14,40,10
23461,DE,19,4,16,100,4,16,100,0,100,100,14,14,40,10
10092,DE,20,4,16,100,4,16,100,0,100,100,14,14,40,10
8745,DE,21,4,16,100,4,16,100,0,100,100,14,14,40,10
10107,DE,22,4,16,100,4,16,100,0,100,100,14,14,40,10
6199,DE,23,4,16,100,4,16,100,0,100,100,14,14,40,10
51893,MA,8,0,100,100,0,100,100,0,100,100,0,100,20,11
24443,MA,9,0,100,100,0,100,100,0,100,100,0,100,20,11
76598,MA,10,5,17,100,5,17,100,0,100,100,3,17,20,11
240461,MA,11,5,17,100,5,17,100,0,100,100,3,17,20,11
88280,MA,12,5,17,100,5,17,100,0,100,100,3,17,20,11
47023,MA,13,5,17,100,5,17,100,0,100,100,3,17,20,11
264641,MA,14,5,17,100,5,17,100,0,100,100,3,17,20,11
